Domain,Location on Site,Primary Domain,Spend,Revenue,Followers,Employees,Company Name,Vertical,BuiltWith Rank,Tranco Rank,Majestic Rank,Page Rank,Telephones,Emails,Twitter,Facebook,Linkedin,Google,Pinterest,Github,Instagram,Vk,Vimeo,Youtube,Tiktok,Threads,X,Weibo,Tieba,Xiaohongshu,Douyin,Ticker,People,City,State,Postcode,Country,First Detected,Last Detected,First Indexed,Last Indexed,Exclusion,Compliance
masterpiecerr.com,masterpiecerr.com,masterpiecerr.com,$60.00,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45755,46028,45743,46107,,
royaltyroofingmiami.com,royaltyroofingmiami.com,royaltyroofingmiami.com,$0.00,$,,,,,,,,"75,008,852",,,,,,,,,,,,,,,,,,,,,,,,,,45771,45921,45562,46010,,
dfwroofingsolution.com,dfwroofingsolution.com,dfwroofingsolution.com,$60.00,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45796,46019,45373,46019,,
jonesremodels.com,jonesremodels.com,jonesremodels.com,$60.00,$,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Clever,MO,"65,631",US,45746,46005,45732,46096,,
coastalroofingandrepair.com,coastalroofingandrepair.com,coastalroofingandrepair.com,$60.00,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45719,46019,45705,46069,,
rccommercialroofing.com,rccommercialroofing.com,rccommercialroofing.com,$60.00,$,,,RC Commercial Roofing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UN,45767,46010,45514,46243,,
landsharkexteriors.com,landsharkexteriors.com,landsharkexteriors.com,$60.00,$,,,LandShark Roofing and Exteriors,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UN,45783,46028,45782,46877,,
jk-exteriors.com,jk-exteriors.com,jk-exteriors.com,$60.00,$,,,J&K Exteriors,Unknown,,,,"23,423,096",,,,,,,,,,,,,,,,,,,,,,,,,UN,45597,46006,45583,46006,,
225roofing.com,225roofing.com,225roofing.com,$0.00,$,,,,,,,,"22,295,756",,,,,,,,,,,,,,,,,,,,,,,,,,45806,46029,43129,46872,,
southernoutdoorsolutionsllc.com,southernoutdoorsolutionsllc.com,southernoutdoorsolutionsllc.com,$60.00,$,,,,Unknown,,,,,,,,,,,,,instagram.com/southernoutdoorsolutionsllc,,,,,,,,,,,,,,,,UN,45774,46028,45633,46028,,
